speaker,season,word_count
Nellie,8,3080
Nellie,9,3402
Nellie Bertram,7,7
Nellie and Pam,9,1
New Instant Message,9,14
Nick,4,195
Nick,6,295
Night cleaning crew,6,4
Nurse,4,13
Nurse,5,44
Nurse,6,194
Nurse,8,14
O'Keefe,6,33
Off-camera,9,12
Office,6,2
Office,7,1
Office Staff,2,8
Officer,4,4
Officer 1,4,32
Officer 2,4,23
Officer Foley,8,23
Offscreen,8,2
Old Lady,8,34
Old Man,8,23
Old Woman,5,11
Old Woman,7,10
Old lady,6,9
Older Woman,7,9
Older guy,7,11
Oscar,1,412
Oscar,2,1043
Oscar,3,658
Oscar,4,852
Oscar,5,1805
Oscar,6,1548
Oscar,7,1527
Oscar,8,2032
Oscar,9,2840
Oscar and Stanley,4,8
Oscar's Computer,9,18
Oscar's friend,8,4
Oscar's voice from the computer,6,23
Other Guy at Bar,2,7
Other waitress,3,9
Others,8,2
Overhead,2,5
Overhead,3,39
Packer,1,2
Packer,2,25
Packer,3,164
Packer,8,242
Pam,1,1410
Pam,2,5934
Pam,3,5805
Pam,4,4200
Pam,5,6007
Pam,6,5879
Pam,7,6042
Pam,8,3910
Pam,9,7462
Pam ,7,1
Pam & Dwight,9,0
Pam [on phone],5,17
Pam and Jim,2,4
Pam and Jim,4,2
Pam and Kelly,8,3
Pam and others,2,3
Pam as fourth-biggest client,7,17
Pam as ninth-biggest client,7,13
Pam's Mom,2,64
Pam's dad,6,3
Pam's mom,6,66
Pam/Jim,2,7
Paramedic,8,11
Parent in Audience,9,1
Parent in audience #1,9,3
Parent in audience #2,9,2
Paris,3,56
Park Ranger,8,18
Party Announcer,9,7
Party Guest,9,5
Party Photographer,9,65
Party Waiter,9,1
Party guests,8,5
Passer-by,7,14
Pastor,7,110
Pastor,9,42
Patty,8,1
Paul,4,20
Paul Faust,4,3
Pediatrician,4,49
Penny,6,66
People in line,9,4
Pete,5,141
Pete,6,41
Pete,9,1510
Pete Halpert,6,15
Phil,4,121
Phil Maguire,4,22
Philip,9,1
Phillip,9,3
Phone,3,10
Phone,5,34
Phone,8,78
Phone Salesman,5,56
Photographer,2,73
Photographer,3,28
Photographer,8,8
Photographer,9,19
Phylis,2,8
Phylis,5,4
Phyliss,7,8
Phyllis,1,75
Phyllis,2,796
Phyllis,3,867
Phyllis,4,846
Phyllis,5,1490
Phyllis,6,1116
Phyllis,7,1225
Phyllis,8,862
Phyllis,9,1014
Phyllis and Creed,5,1
"Phyllis, Kevin & Stanley",9,5
"Phyllis, Meredith, Michael, Kevin",2,3
"Phyllis, Stanley, Dwight",7,1
Pizza guy,4,129
Police Officer 1,5,42
Police Officer 2,5,41
Policeman,6,17
Pretzel guy,3,46
Priest,3,33
Prince,5,9
Prince Granddaughter,5,9
Prince Grandfather,5,152
Prince Grandmother,5,6
Prince Son,5,14
Producer,9,40
Production Assistant,9,19
Professor,5,91
Professor Powell,7,31
Promo Announcer,9,0
Promo Voice,9,21
Queerenstein Bears,8,3
Rachel,3,67
Rachel,9,19
Radio,7,39
Rafe,9,1
Randy,3,13
Ravi,8,42
Ravi,9,63
Realtor,6,42
Receptionist,2,18
Receptionist,3,6
Receptionist,4,7
Receptionist,5,54
Receptionist,7,4
Receptionist,8,58
Receptionitis15,5,9
Receptionitis15 [screen name],5,2
Redheaded Actress,2,3
Registrar,6,22
Rehab Nurse,5,4
Reid,6,36
Rep,6,63
Reporter,6,22
Reporter,7,16
Reporter #1,9,11
Reporter #2,9,4
Robert,7,297
Robert,8,5351
Robert,9,160
Robert & Creed,8,2
Robert California,7,7
Robert California,8,202
Robert Dunder,4,113
Robotic Voice,7,15
Roger,9,4
Rolando,4,17
Rolando,5,19
Rolf,9,107
Rolph,5,83
Ronnie,5,15
Rory,7,21
Rose,5,91
Roy,1,223
Roy,2,857
Roy,3,853
Roy,5,44
Roy,9,145
Ruger Sister 1,9,16
Ruger Sister 2,9,6
Ryan,1,313
Ryan,2,1533
Ryan,3,1926
Ryan,4,2404
Ryan,5,1667
Ryan,6,1085
Ryan,7,1892
Ryan,8,2210
Ryan,9,185
Ryan Howard,9,178
Ryan and Kelly,7,10
Ryan and Michael,7,1
Ryan and others,3,6
Ryan's Voicemail,2,22
Sadiq (IT guy),2,57
Salesman,7,65
Salesman,9,5
Salesmen,9,13
Saleswoman,8,4
Sam,5,106
Santigold,9,26
Sasha,2,32
Sasha,5,3
Sasha,8,3
School Official,3,23
Second Cindy,3,56
Second Shareholder,6,8
Secretary,5,14
Secretary,6,19
Secretary,9,14
Security,6,9
Security guard,4,6
Senator,8,82
Senator,9,148
Senator Lipton,8,139
Senator Lipton,9,31
Senator Liptop,9,47
Sensei,9,118
Sensei Ira,9,1
Server,3,3
Server,9,9
Seth Mayers,9,30
Shane,6,65
Shareholder,6,3
Shelby,7,41
Sheriff,2,73
Sherri,2,57
Shirley,9,106
Soldier,8,35
Soldier,9,20
Someone,3,8
Someone,4,5
Son,7,37
Song,2,10
Spanish Teacher,3,19
Speaker,2,18
Speaker,8,97
Stanely,4,5
Stanley,1,150
Stanley,2,779
Stanley,3,841
Stanley,4,835
Stanley,5,883
Stanley,6,507
Stanley,7,552
Stanley,8,1009
Stanley,9,782
Stanley & Phyllis,5,0
Staples Guy,3,9
Stephanie,5,13
Stephanie,6,17
Steve,7,24
Stewardess,5,7
Stonewall Host,8,28
Store Employee,2,9
Stripper,9,31
Stu,8,3
Student 1,3,16
Student 2,3,19
Student 3,3,14
Students,6,77
Students,7,1
Suit Store Father,9,90
Suit Store Son,9,42
Supervisor,5,5
Susan,8,421
Sweeney Todd,7,108
TV,7,6
Tall Girl #1,4,23
Tall Girl #2,4,8
Tattoo Artist,8,42
Teacher,6,126
Teammates,1,1
Tech Guy,4,6
Ted,3,4
Teddy,6,11
Teddy Wallace,6,2
The Kids,2,4
Third Shareholder,6,10
Toby,1,88
Toby,2,1297
Toby,3,1087
Toby,4,1536
Toby,5,786
Toby,6,861
Toby,7,948
Toby,8,1114
Toby,9,1185
Todd,2,10
Todd,7,431
Todd,9,5
Todd Packer,1,117
Todd Packer,2,264
Todd Packer,6,71
Todd Packer,7,34
Todd Packer,8,196
Todd Packer,9,400
Together,7,2
Tom,5,103
Tom,6,43
Tom,7,69
Tom Halpert,6,6
Tom and Pete,6,1
Tony,3,145
Travel Agent,1,25
Trevor,9,281
Troy,4,96
Troy,9,1
Ty,5,8
Uncle Al,3,43
Unknown,3,2
Usher,7,27
Usher,9,3
VRG 1,5,15
VRG 2,5,11
Val,8,276
Val,9,133
Vance Refrigeration Guy,5,31
Vance Refrigeration Guy 1,5,4
Vance Refrigeration Guy 2,5,1
Vance Refrigeration Worker #1,2,48
Vance Refrigeration Worker #2,2,11
Vance Refrigeration guy,4,5
Vance Refrigeration guy,5,3
Various,6,6
Various,8,15
Vet,8,108
Video,2,0
Video,3,0
Video Michael,7,54
Vikram,4,51
Vikram,5,105
Voice #1 on phone,4,10
Voice #2 on phone,4,4
Voice of Thomas Dean,4,24
Voice on CD player,6,71
Voicemail,9,9
W.B. Jones,4,18
Wade,9,1
Waiter,3,27
Waiter,7,50
Waiter,8,49
Waiter,9,11
Waitress,2,14
Waitress,3,5
Waitress,4,6
Waitress,6,29
Waitress,8,3
Wally Amos,8,43
Walt Jr.,9,66
Walter,8,193
Walter & Walter Jr,8,44
Walter Jr,8,40
Warehouse Crew,8,4
Warehouse Guy,2,1
Warehouse Guy,6,3
Warehouse Guy,7,1
Warehouse Michael,5,15
Warehouse Worker,1,3
Warehouse guy,2,7
Warehouse guy 1,6,13
Warehouse guy 2,6,3
Warehouse guys,2,0
Warehouse worker,1,7
Warren,7,34
Warren Buffett,7,7
Wendy's phone operator,4,23
White,9,8
Window treatment guy,7,27
Wolf,9,92
Woman,3,6
Woman,4,16
Woman,5,10
Woman,6,31
Woman,7,20
Woman,8,2
Woman,9,38
Woman 1,9,33
Woman 2,9,31
Woman 3,9,13
Woman 4,9,36
Woman at bar,3,4
Woman from Buffalo,5,5
Woman in line,6,20
Woman on mic,4,15
Woman over speakerphone,4,20
Women,2,0
Women,3,4
Women,7,5
Worker,1,26
Worker,9,3
Wrangler,8,12
Young Man,3,6
Young Michael,2,28
Younger Guy,7,47
Zeke,9,109
Zion,6,6
"[Clark and Pete are shown on screen]
Video Andy: Hey, I'm Pete, puberty is such a drag, man. And I'm Clark! I like to eat toilet paper. [Clark and Pete wave at camera] We fail! [Video shows memorial of Jerry",9,1
"[repeats]
Andy: Fail",9,1
abe,7,20
sAndy,4,12
song,2,8
